2022-03-07 17:21:39,548 - movie - INFO -가상 브라우저 실행...
2022-03-07 17:21:39,875 - movie - INFO -네이버 영화 랭킹 1 페이지 이동...
2022-03-07 17:21:39,894 - movie - INFO -1. 클라우스영화 제목 클릭... :
2022-03-07 17:21:40,847 - movie - INFO -영화 평점 클릭...
2022-03-07 17:21:40,866 - movie - INFO -영화 제목 수집 : 클라우스
2022-03-07 17:21:40,884 - movie - INFO -iframe 전환
2022-03-07 17:21:56,822 - movie - INFO -22,장민호 드라마 최종회
2022-03-07 17:21:56,851 - movie - INFO -23,장민호 드라마 최종회
2022-03-07 17:21:56,882 - movie - INFO -24,장민호 드라마 최종회
2022-03-07 17:21:56,911 - movie - INFO -25,장민호 드라마 최종회
2022-03-07 17:21:56,940 - movie - INFO -26,장민호 드라마 최종회
2022-03-07 17:21:56,970 - movie - INFO -27,장민호 드라마 최종회
2022-03-07 17:21:57,000 - movie - INFO -28,장민호 드라마 최종회
2022-03-07 17:21:57,034 - movie - INFO -29,장민호 드라마 최종회
2022-03-07 17:21:57,063 - movie - INFO -30,장민호 드라마 최종회
2022-03-07 17:21:57,196 - movie - INFO -다음 페이지 클릭
2022-03-07 17:21:57,231 - movie - INFO -31,장민호 드라마 최종회
2022-03-07 17:21:57,260 - movie - INFO -32,장민호 드라마 최종회
2022-03-07 17:21:57,289 - movie - INFO -33,장민호 드라마 최종회
2022-03-07 17:21:57,319 - movie - INFO -34,장민호 드라마 최종회
2022-03-07 17:21:57,349 - movie - INFO -35,장민호 드라마 최종회
2022-03-07 17:21:57,377 - movie - INFO -36,장민호 드라마 최종회
2022-03-07 17:21:57,406 - movie - INFO -37,장민호 드라마 최종회
2022-03-07 17:21:57,442 - movie - INFO -38,장민호 드라마 최종회
2022-03-07 17:21:57,471 - movie - INFO -39,장민호 드라마 최종회
2022-03-07 17:21:57,499 - movie - INFO -40,장민호 드라마 최종회
2022-03-07 17:21:57,629 - movie - INFO -다음 페이지 클릭
2022-03-07 17:21:57,663 - movie - INFO -41,장민호 드라마 최종회
2022-03-07 17:21:57,692 - movie - INFO -42,장민호 드라마 최종회
2022-03-07 17:21:57,722 - movie - INFO -43,장민호 드라마 최종회
2022-03-07 17:21:57,752 - movie - INFO -44,장민호 드라마 최종회
2022-03-07 17:21:57,782 - movie - INFO -45,장민호 드라마 최종회
2022-03-07 17:21:57,810 - movie - INFO -46,장민호 드라마 최종회
2022-03-07 17:21:57,848 - movie - INFO -47,장민호 드라마 최종회
2022-03-07 17:21:57,877 - movie - INFO -48,장민호 드라마 최종회
2022-03-07 17:21:57,905 - movie - INFO -49,장민호 드라마 최종회
2022-03-07 17:21:57,935 - movie - INFO -50,장민호 드라마 최종회
2022-03-07 17:21:58,062 - movie - INFO -다음 페이지 클릭
2022-03-07 17:21:58,096 - movie - INFO -51,장민호 드라마 최종회
2022-03-07 17:21:58,127 - movie - INFO -52,장민호 드라마 최종회
2022-03-07 17:21:58,156 - movie - INFO -53,장민호 드라마 최종회
2022-03-07 17:21:58,185 - movie - INFO -54,장민호 드라마 최종회
2022-03-07 17:21:58,214 - movie - INFO -55,장민호 드라마 최종회
2022-03-07 17:21:58,244 - movie - INFO -56,장민호 드라마 최종회
2022-03-07 17:21:58,272 - movie - INFO -57,장민호 드라마 최종회
2022-03-07 17:21:58,310 - movie - INFO -58,장민호 드라마 최종회
2022-03-07 17:21:58,340 - movie - INFO -59,장민호 드라마 최종회
2022-03-07 17:21:58,368 - movie - INFO -60,장민호 드라마 최종회
2022-03-07 17:21:58,502 - movie - INFO -다음 페이지 클릭
2022-03-07 17:21:58,536 - movie - INFO -61,장민호 드라마 최종회
2022-03-07 17:21:58,568 - movie - INFO -62,장민호 드라마 최종회
2022-03-07 17:21:58,599 - movie - INFO -63,장민호 드라마 최종회
2022-03-07 17:21:58,630 - movie - INFO -64,장민호 드라마 최종회
